,file_name,token_count,unknown_count,readability,unknown_words,text
0,sessionlawsresol1955nort_0062.jpg,335,25,92.54,"['s', 'carniiua', 'aiproceedings', 'eenhty', 'gmeml', 'chmiiiia', 'febiuary', 'h', 'discretinn', 'conﬁrmed', 'ratiﬁcation', 'pruvisions', 'ratiﬁed', 'uommissionu', 'nurlh', 'cht', 'fallows', 'b', 'conﬂict', 'genrml', 'axsmnbly', 'mm', 'tl', 'nf', 'cf']","CHt 9-10.11 1955—SESSION LAWS

{mii- per cent (4%) of the sales price as conﬁrmed by the board of eenhty
uommissionu‘s.

See 3, All laws and clauses or laws in conﬂict With this Act. hie hereby
repealed.

See i This Act shall be in full raise and effect from and after its
ratiﬁcation.

1n the General Assembly read three times and ratiﬁed, this the 3rd day
of Febiuary, 1955.

H B. 58 CHAPTER 10

AN ACT T0 AMEND G. S. 1-1013, RELATING TO PROSECUTION
BONDS. SO AS TL) PLACE THE STATE ON THE SAME BASIS AS
CITIES AND TOWNS WITH RESPECT TO EXEMPTION THEREFROM.

The Genrml Assembly of Nm-ut Carolina do mm,
Section ii at s. 17109 is hereby amended by inserting the words “the
State of North chmiiiia 01' any of its agencies, commissions or institutions,
hi- to"" immediately following the word “to"" and immediately preceding the
word “counties"", in line 3 of paragraph 3, and by inserting the words “cha
State or Nurlh Carolina or any of its agencies. L-ommiSSinns or institutions,
anti"" immediately following the ward “that"" and immediately preceding the
word “counties"" in line 4 of paragraph 3.

Sec. 2‘ This Act shall apply to pending litigaL'ion, and all actions aiproceedings heretofore instituted by the suite of North Carolina ei- its
agencies shall he valid as if the pruvisions of this Act had at all times been
the law of the land.

See. 3. A11 laws and clauses nf laws in conﬂict with this Act are hereby
repealed.

Sec. 4. This Act shall become effective upon its ratiﬁcation.

in the General Assembly read three times and ratiﬁed, this the 3rd day
of Fehi-uei-y, 1955.

S. B. 22 CHAPTER 11

AN ACT T0 AMEND G. S. 153-38 SO AS TO PROVIDE FOR THE PAYMENT OF THE EXPENSES BY GRANVILLE COUNTY OF THE
COUNTY AUDITOR, THE CLERK TO THE BOARD OF COUNTY
COMMISSIONERS. AND THE COUNTY ATTORNEY IN ATTEND
ING MEETINGS OF THE STATE ASSOCIATION OF COUNTY COMMISSIONERS.

The Gmeml Axsmnbly 0/ North Carniiua do met.Section 1. 0‘ s. 153.33 is amended by adding at the end thereof a new
paragraph to read as fallows:
“in Granville County, the Bum'd iii County Commissioners is authorized,
in its discretinn, to pay the expenses cf the County Auditor, the Clerk to

6

"
1,sessionlawsresol1955nort_0063.jpg,378,28,92.59,"['s', 'ch', 'revaluing', 'chunty', 'lst', 'ﬁcation', 'eﬂ', 'collectm', 'heretafure', 'commissiunex', 'cuunty', 'discme', 'oﬁcials', 'baard', 'conﬁrmed', 'ratiﬁcation', 'caralina', 'ratiﬁed', 'assetiatian', 'equeiization', 'b', 'conﬂict', 'attemey', 'v', 'eumpleted', 'nf', 'cummissinnel', 'ratir']","1955—SESSION LAWS CH. 11-12-13

the Board of County Commissioners, and the Cuunty Attemey in attend.
ing meetings of the State Assetiatian of County Commissiunex‘s.""

See. 2. All action heretafure taken by the Board of chunty Commissioners of Granville County in paying the expenses of the oﬁcials named in
Section 1 of this Act in attending meetings of the State Association at
County Commissioners is hereby validated, ratiﬁed, and conﬁrmed.

Sec. 3. A11 laws and clauses nf laws in conﬂict with this Ant are hereby
repealed.

Set. 4. This Act, shall be in full farce and eﬂ‘ect from and after its ratir
ﬁcation.

In the Genera! Assembly read three times and ratiﬁed, this the 4th day
af February, 1955.

S. B. 34 CHAPTER 12

AN ACT TO AMEND CHAPTER 465 OF THE SESSION LAWS OF 1949
TO AUTHORIZE THE BOARD OF COUNTY COMMISSIONERS OF
ROWAN COUNTY IN ITS DISCRETION TO ADD THE DUTIES
AND POWERS OF COUNTY TAX SUPERVISOR TO THOSE NO‘V
BEING PERFORMED BY THE COUNTY TAX COLLECTOR

The General Assembly of North Caralina do enact:

Section 1. Section 1 of Chapter 465 of the Session an5 of 1949 is
hereby amended by rewriting Section 4 thereof to read as follows: ""Sec. 4.
The Board of County Commissioners of Rowan County may, in its discme
tion, add the duties and powers of County Tax Supervisor to those now
being performed by the County Auditor or by the County Tax Collector
end. in such event, may pay such County Auditor or County Tax Collectm
such additional compensation m- such services as, in its discretion, it may
deem appropriate.""

Sec. 2. A11 laws and clause: of laws in conﬂict with this Act, are hereby repealed.

Sec. 3‘ This Act. shall be in full farce and eﬁ'ect from and after its ratiﬁcation.

In the General Assembly read three times and ratiﬁed. this the 4th
day of February, 1955,

S. B. 35 CHAPTER 13

AN ACT AUTHORIZING THE BOARD OF COUNTY COMMISSIONERS
OF ROWAN COUNTY TO EXTEND THE PERIOD DURING WHICH
IT MAY SIT IN 1955 AS A BOARD OF EQUALIZATION AND RE»
VIEW.

WHEREAS, the Board of County Cummissinnel's of Rowan County are
in the process nf revaluing taxable property in Rowan County; and
WHEREAS, the revaluation was not eumpleted on January lst, 1955
the day upon which tex listing began; and
WHEREAS, the said County Commissioners, acting as a Baard of
Equeiization and Review from March 2m to April 11th, 1955, will not

7

"
2,sessionlawsresol1955nort_0061.jpg,384,20,94.79,"['ch', 'ratiﬁcatinn', 'oﬂ', 'seie', 'cuunty', 'genemt', 'cummissinners', 'ratiﬁcation', 'eﬁective', 'ratiﬁed', 'empluyed', 'b', 'conﬂict', 'buatd', 'authurized', 'purpnses', 'caunty', 'puhiic', 'nf', 'febmafyi']","11355—535510»: LAWS CH. 7-8-9

repealed.

Sec. 3. This Act shall be in full force and effect from and after its ratiﬁcation.

In the General Assembly read three times and ratiﬁed, this the 3rd day
of Febmafyi 1955.

S. B. 38 CHAPTER 8

AN ACT TO AMEND G. St 7-274 SO AS TO AUTHORIZE THE CLERK
0R DEPUTY CLERK OF THE GENERAL COUNTY COURT OF
HALIFAX COUNTY TO ISSUE CRIMINAL WARRANTS.

The Genemt Assembly of North Caruh'mi do enact:

Section 1. G. 5. 7.274 is hereby amended by striking out the word
”Halifax” as the same appears in line 13‘

Sea 2' Au laws and clauses of laws in conﬂict with this Act are hereby
repealed.

Sec. 3. This Act shall become eﬁective upon ratiﬁcatinn.

In the General Assembly read three times and ratiﬁed, this the 3rd day
of February, 1955,

H. B. 28 CHAPTER 9

AN ACT TO AUTHORIZE AND EMPOWER THE BOARD OF COMMISSIONERS OF STOKES COUNTY TO SELL AND CONVEY THE
TRACT OF LAND AND BUILDINGS SITUATED THEREON FOR»
MERL‘I USED BY THE COUNTY IN CONNECTION WITH THE
OPERATION AND MAINTENANCE OF THE COUNTY HOME
FARM.

The General Assembly 0/ North Carolina do enact:

Section 1. The Board of Cuunty Commissioners of Stokes County is
hereby authorized and empowered to sell at public or private sale the entire
tract of land and buildings situated thereon known as the County Home
Farm or such part or parts thereof as in the discretion of the board will
not be needed for public purpnses. If the seie is made at public auction,
notice of the sale shall be published once a week for two successive weeks
in a newspaper of general circulation in the county. After any such public
sale, the board of county cummissinners is authurized to reject any bid
which in the opinion of the board is not considered to be the fair market
mine of the partial or entire tract of land oﬂ‘ered. If, after public auction,
the buatd of county commissioners rejects the highest bid made, further
puhiic auctions may he held ur the partial or entire tract of land may he
sold privately fur a higher price.

See. 2. In carrying out the provisions of this Act the Board nf County
Commissioners of Stokes Caunty may execute all necessary deeds and may
employ an auction company to assist with subdividing and selling the
property involved but shall not pay any company so empluyed more than

5

"
3,sessionlawsresol1955nort_0060.jpg,334,24,92.81,"['s', 'ch', 'nurth', 'ﬁx', 'carhim', 'asxembly', 'ratiﬁcationi', 'assemhiy', 'deﬁned', 'monthlyi', 'punctuatiun', 'sectiun', 'ratiﬁcation', 'ﬁrst', 'fmm', 'ratiﬁed', 'g', 'b', 'conﬂict', 'mm', 'dn', 'uften', 'foliowing', 'sentehce']","CH. 5—6-7 1955—SESSION LAWS

H. B. 2 CHAPTER 5

AN ACT TO REPEAL CHAPTER 501 OF THE SESSION LAWS OF 1953,
RELATING TO COMMITTEE HEARINGS ON THE APPROPRIATIONS BILL.

The General Assembly of th Carolina da enact:

Section it Chapter 501 of the Session Laws of 1953 is repealed.

Sect 2. Al] laws and clauses of laws in conﬂict with this Act are hereby repealed.

Sect 3‘ This Act shall he in full force and sheet from and after its ratiﬁcationi

In the General Assemhiy read three times and ratiﬁed, this the 28th
day of January, 1955.

H. B. 18 CHAPTER 6

AN ACT T0 AMEND THE CHARTER OF THE CITY OF SALISBURY
BY REQUIRING COUNCIL MEETINGS TO BE HELD AS OFTEN AS
TWICE MONTHLY INSTEAD OF ONCE WEEKLY.

The General Asxembly ai Nurth. Cm'nlirm, (la enact:

Section 1. Section 8 of Chapter 231 of the Private Laws of 1927, as
amended by Chapter 178 of the Private Laws of 1929, be and the same is
hereby further amended by striking out the ﬁrst senteHCe appearing thete~
in and inserting in lieu thereof the following:

""The Council shall ﬁx suitable times for its regular meetings, which
shall be as uften as twice monthlyi""

Sec. 2. All laws and clauses uf laws in conﬂict with this Act are hereby repealed.

Sec. 3‘ This Act shall be in fun force and effect fmm and after its
ratiﬁcation.

In the General Assembly read three times and ratiﬁed, this the 28th
day of January, 1955.

S. B. 33 CHAPTER 7

AN ACT TO AMEND ARTICLE 4 01“ CHAPTER 15 OF THE GENERAL
STATUTES SO AS TO PROVIDE FOR THE ISSUANCE OF SEARCH
WARRANTS FOR NARCOTIC DRUGS.

The General Assembly of Newt Carhim dn mm:

Section 1. G. s, 15.25 is amended by inserting between the comma foliowing the word “premises"" and the word “any"" in line a of said Section
the words and punctuation “any narcotic drugs as deﬁned in Article 5 of
Chapter 90 of the General Statutes,”. G, S. 15-25 is further amended by
inserting between the word “such"" and the word “stolen"" in line 22 of said
Sectiun the words and punctuatiun “narcotic drugs,"".

Sec. 2. All laws and clauses of laws in conﬂict with this Act are hereby

4

"
4,sessionlawsresol1955nort_0064.jpg,314,18,94.27,"['ch', 'untii', 'sessiun', 'ratiﬁed', 'weiteh', 'geurge', 'cempieints', 'equalizatian', 'aﬂer', 'sufﬁcient', 'b', 'conﬂict', 'sessian', 'tompiaints', 'mm', 'ratiﬁcation', 'rm', 'revaiuetiohs']","CH. 13-14 1955—8255101: Laws

have sufﬁcient time to properly consider an cempieints likely to arise on
account of such revaiuetiohs: Now, therefore,
The General Assembly a/ North Cm'alina d0 enact:

Section 1. That. the Board of County Commissioners in its discretion
may extend the period during which it may sit in the year 1955 as a Board
af Equalizatian and Review untii such time as it has completed the work
of hearing and determining tompiaints relating to revaluation; hut said
extension shall end on or before October 1st, 1955.

See. 2. All laws and clauses of laws in conﬂict with this Act are here—
hy repealed.

Sec. 3. This Act shall be in full force and effect mm and aﬂer its
ratiﬁcation.

In the General Assembly read three times and ratiﬁed, this the 4th day
of February, 1955.

S. B. 101 CHAPTER 14

AN ACT TO AMEND CHAPTER 788 OF THE SESSION LAWS OF 1953
SO AS TO APPOINT A MEMBER OF THE BOARD OF EDUCATION
OF BRUNSWICK COUNTY TO SERVE OUT THE UNEXPIRED
TERM OF RAY WALTON.

WHEREAS, Ray Weiteh was named in Chapter 788 of the Sessian
Laws of 1953 to serve on the Board of Education of Brunswick County for
a term of two years; and

WHEREAS, Ray Walton having been elected Senator from the Tenth
Senatorial District to serve in the 1955 General Assembly resigned from
his position as a member at the Board at Education at Brunswick
County: Now, therefore,

Th2 General Assembly of North Carolina do enact:

Section 1. Section 1 of Chapter 788 uf the Sessiun Laws of 1958 is hereby amended so as to provide that Thomas St. Geurge is appointed a mem—
her of the Board of Education at Brunswick County to serve for the unexpired term of Ray Walton.

Sec. 2. All laws and clauses of laws in conﬂict with this Act are hereby repealed.

Sec. 3. This Act shall he in full force and effect {rm and after its
ratiﬁcation.

In the General Assembly read three times and ratiﬁed, this the 4th day
of February, 1955.

"
5,sessionlawsresol1955nort_0058.jpg,384,32,91.67,"['essements', 'ch', 'ssme', 'towni', 'danses', 'eﬁect', 'ﬁgures', 'eﬁeet', 'eeuhty', 'iieu', 'ratiﬁcation', 'ﬁrst', 'genersi', 'ratiﬁed', 'sertion', 'cimziim', 'b', 'iines', 'conﬂict', 'fenewiug', 'iine', 'purpuse', 'caunty', 'seetiun', 'useii', 'iurateﬁ', 'shsu', 'ﬁcationi', 'sertiou', 'ﬁve', 'eemmunities', 'iiuiits']","CH. 243 1955—SESSION LAWS

ﬁve thousand dollars ($125,000.00), to be useii iu suCh amounts in the disei—etieh of said board of caunty commissioners for the purpose of acquiring easements for Water and sewer iines, or either of them, and far the
purpuse of laying and ransti-usting water and sewer lines or either of them
from the corporate limits of municipalities iurateﬁ in Catawba County to
eemmunities located within said county, but outside at the corporate iiuiits
of municipalities, said water and sewer iines, er either of them, shsu he
constructed and laid and said essements therefor shall be acquired, for the
purpose or promoting the general welfare of said eeuhty and the expense
of laying and construction of said lines and acquiring said easements is
hereby declared to be expenditures for public pm'puses.

Sec. 2. A11 laws and danses of laws in conﬂict with this Act sre hereby
repealed,

Sec. 3. This Act shall be in full force and eﬁect from and after its
ratiﬁcation

In the Genersi Assembly read three times and ratiﬁed, this the 14th
day of January, 1955.

S. B. 13 CHAPTER 3

AN ACT T0 AMEND THE ELECTION LAW HERETOFORE PROVIDED
FOR THE TOWN OF CONETOE, IN EDGECOMBE COUNTY, AND
TO FIX THE DATES OF ELECTIONS FOR SAID TOWNi

The General Assembly of North cimziim do enact:

Section 1. Amend Sertiou 2 of Chapter 573 of the Session Laws of 1953
by striking out the following: “1953"", appearing in the ﬁrst line of said
Section 2. and by inserting in lieu thereof the fenewiug: ”1955"".

Sec. 2. Amend Seetiun 3 of Chapter 673 of the Session Laws of 1953
by striking out the ﬁgures “1953“, as the ssme appear in the eighth line of
said Section 3, and by inserting in lieu thereof the ﬁgures ""1955"".

Sec. 3. Amend Section 4 of Chapter 673 of the Session Laws mi 1953 by
striking out the ﬁgures “1955"", as the same appear in the ﬁrst line of said
Sertion 4, and by inserting in lieu thereof the ﬁgures “1957"".

Further amend said Section 4 iii Chapter 673 of the Session Laws of
1953 by striking out the ﬁgures “1953"", as the same appear in the Ruth
iine of said Section 4, and by inserting in iieu thereof the ﬁgures “1955"".

Sec. 4. All laws and clauses of laws in conﬂict with this Act are hereby
repealed.

Sec. 5. This Act shall he in full force and eﬁeet {rum and after its rim—
ﬁcationi

In the General Assembly read three times and ratiﬁed, this the 14th day
of January, 1955.

"
6,sessionlawsresol1955nort_0059.jpg,421,42,90.02,"['s', 'ch', 'oihee', 'ofﬁce', 'eohtiict', 'ﬁll', 'eeth', 'aie', 'iequiied', 'biennially', 'omeeis', 'claust', 'persan', 'provisiuns', 'prnvided', 'gencml', 'cember', 'assemhiy', 'janunry', 'oﬂice', 'recurder', 'ﬁrst', 'ratiﬁed', 'solicitur', 'sheii', 'b', 'chimty', 'followr', 'omce', 'electer', 'ratiﬁeetioh', 'chmiihe', 'attorr', 'frankijn', 'tn', 'omee', 'qualiﬁed', 'electiun', 'bienhiei', 'eeiery', 'cf', 'enac']","1955—-SESSION LAWS CH, 4

H. B. 34 CHAPTER 4

AN ACT TO PROVIDE THAT THE OFFICE OF SOLICITOR OF THE
RECORDER’S COURT OF FRANKIJN COUNTY BE AN ELECTIVE
OFFICE.

The Gencml Assembly 0/ North Carolina do enac ,

Section 1. That Section 6 of Chapter 12. Session Laws of 1951 is hereby repealed.

Sec. 2. That G. s. 7235 is hereby amended by adding at the end theree
of the following:

“Provided that as of February 1, 1955, the omce of prosecuting attorr
hey of the Recorder’s Court of Franklin chimty, denominated solicitor,
shall he am elective oﬂice. The ﬁrst solicitor shall be elected by the Beard
of Commissioners of Franklin County eh or before February 1, 1955, and
shall hold his ofﬁce under said appointment until the ﬁrst Monday in De.
cember, 1955, At the primary and general elections to be held in the year
1956 and biennially thereafter, the Solicitor of the Recurder's Court of
Franklin County shall be nominated and elected in the same manner end
at the seine time as is how or may hereafter he prnvided by law for the
nomination and election of the elective omeeis of the county; the term of
omce of said Solicitor shall begin on the ﬁrst Monday in December followr
ing the biennial general election at which he shall have been elected and
shall extend tn the ﬁrst Monday in December following the next ensuing
bienhiei general electiun. 1n the event of a vacancy in the oihee of Solicitor,
either by death, resignation, failure to qualify, or otherwise, the Board of
Commissioners of Franklin County shall ﬁll such vacancy by appointment
and the persan so appointed sheii serve until the hist Monday in December
following the next biennial general election. The eeiery of said Solicitur
shall he twa thousand four hundred dollars ($2400.00) per year and shall
he paid in equal monthly installments from the General Fund of the county.
The said Solicitor shall, at the time of his appointment or nomination and
election, be e qualiﬁed electer of Franklin County and e licensed attorney
at law, and before entering upon the duties of his omee shall take and subscribe an oath substantially in the form iequiied of State solicitors by
Section 11.11 of the General Statutes of North chmiihe, and said eeth shall
be recorded by the Clerk of the Superior Court of Franklin County.""

See. 3. All laws and claust: cf laws in eohtiict with the provisiuns of
this Act aie hereby repealed.

See. .1. This Act shall be in mu force and effect 1mm and after its ratiﬁeetioh.

In the General Assemhiy read three times and ratiﬁed, this the 26th day
or Janunry, 19551

 

"
7,sessionlawsresol1955nort_0065.jpg,344,20,94.19,"['s', 'ch', 'assembiy', 'eﬁect', 'ln', 'frnm', 'ratiﬁcation', 'ﬁrst', 'ﬁled', 'ratiﬁed', 'b', 'conﬂict', 'mm', 'caralimz', 'qualiﬁed', 'qualiﬂed', 'decem', 'ﬁve', 'vutcrs', 'foliows']","1955—SESSIDN LAWS CH. 15-16-17

H. B. 6 CHAPTER 15

AN ACT T0 REPEAL CHAPTER 522 OF THE SESSION LAWS OF 1953,
RELATING TO COUNTY POLICEMEN 0F MCDOWELL COUNTY.

The General Assembly of North Carolina do enact:

Section 1. Chapter 522 of the Session Laws of 1953 is repealed.

Sec. 2. All laws and clause: of laws in conﬂict with this Act are hereby repealed,

Sec. 3. This Act shall he in full force and effect from and after its ratiﬁcation.

In the General Assembiy read three times and ratiﬁed, this the 4th day
of February, 1955.

H. B. 15 CHAPTER 16

AN ACT TO INCREASE THE MEMBERSHIP OF THE BOARD OF
COUNTY COMMISSIONERS OF PERSON COUNTY FROM 3 T0 5,
AND TO AMEND G. S 153-5

The General Assembly 0/ Nomi Caralimz 110 mm.
smith 1. That G. s. 153.5 is hereby amended by adding at the end
thereof a paragraph reading as follows:

“There shall be elected in Person County at the general election to be
held in the year 1956 and every two years thereafter by the duly qualiﬁed
vutcrs thereof, a board of county commissioners composed of ﬁve persons
who shall serve for a term of two years from the ﬁrst Monday in Decem.
her after their election and until their successors are elected and qualiﬂed.""

Sec. 2. A11 laws and clauses of laws in conﬂict with the provisions of
this Act are hereby repealed.

Sec. 3. This Act shall be in full force and eﬁect mm and after its
ratiﬁcation

In the General Assembly read three times and ratiﬁed, this the 4th day
of February, 1955‘

H. B. 16 CHAPTER 17

AN ACT T0 AMEND CHAPTER 105 OF THE GENERAL STATUTES SO
AS TO CHANGE THE TIME FOR FILING STATE INCOME TAX
RETURNS BY PERSONS OTHER THAN CORPORATIONS FROM
THE FIFTEENTH DAY OF MARCH TO THE FIFTEENTH DAY OF
APRIL IN EACH YEAR, AND TO CONFORM THE STATE LAW TO
THE FEDERAL LAW AS TO THE TIME FOR FILING RETURNS.

The General Assembly a] North Carolina do enact:

Section 1. The ﬁrst paragraph of G. St 105-155 is hereby amended by
rewriting said paragraph Ln mad as foliows:

“Returns shall be in such farm as the Commissioner of Revenue may
frnm time to time prescribe, and shall be ﬁled with the Commissioner at his

9

"
8,sessionlawsresol1955nort_0066.jpg,599,37,93.82,"['ﬁftventh', 'follnwing', 'ofﬁce', 'hefore', 'ﬁling', 'm', 'corporatlon', 'ﬁledt', 'nriginally', 'raturn', 'defelretl', 'yeer', 'ﬁfty', 'ﬁled', 'ﬁlteenth', 'befoxe', 'retnml', 'commissiuner', 'subsectinn', 'retllm', 'tn', 'nriglnally', 'oﬁce', 'repnrtlng', 'ﬁfteenth', 'ﬁscal', 'ennnm', 'nf', 'ﬁxed', 'payallle', 'onerfourth', 'poratinn', 'iourth', 'befure', 'cf', 'pemn', 'cndzlr']","Cut 17 1955—SESSION LAws

main oﬁce, or at any branch ofﬁce which he may establish. The return of
every person reporting an a calendar yeer basis shall be ﬁled on or before
the ﬁlteenth day of April in each year, end the return of every person
reporting on a ﬁscal year basis shall he ﬁled on or befure the ﬁfteenth
day of the fourth month following the close nf the ﬁscal year. The return
(If e corporation reporting on a calendar year basis shall he ﬁled on or
hefore the ﬁfteenth day of March in each year, and the return of e co!poratinn reporting on a ﬁscal year basis shall be ﬁled on or before the
ﬁftventh day of the third month following the close of the ﬁscal year. In
case of sickness, absence. or ether disability or whenever in his judgment
good cause exists. the Commissiuner may allow further time fur ﬁling
returns.""

Sec. 2. Subsection (1) of at S. 105-157 is hereby amended by rewriting
the subsectinn to read as follows

""(1) Except as otherwise provided in this Section, the full amount of
the tax payallle as shown on the face of the return shall he paid to the
Commissioner uf Revenue at the oﬁce where the return is ﬁled at the time
ﬁxed by law fur ﬁling the retnml

“If the taxpayer is e person reporting on a calendar year basis and the
amount. of tax exceeds ﬁfty dollars ($50.00), payment may be made in two
equal installments: ene-half at the time of ﬁling the return, and one-half
on ex hefm-e the ﬁfteenth day of September following the date the return
was originally due to be ﬁled, with interest en the deferred payment at the
rate of four per cent (49;) per annum from the date the return was originally due to be ﬁledt If the taxpayer is a person reporting on a calendar
year basis and the amount of the tax exceeds four hundred dollars ($400.00),
payment may be made in four equal installments: one»iourth at the time
of ﬁling the retllm, one-fourth on or before the ﬁfteenth day of June following the date the return was nriginally due to be ﬁled, une-founh on or
before the ﬁfteenth day nf September following the date the return was
originally due tn he ﬁled, and one-fourth an or before the ﬁfteenth day of
December following the date the return was nriglnally due to he ﬁled, with
interest on defelretl payments at the rate at four per cent (4%) per ennnm
from the date lhe return was originally due tn he ﬁled.

 

“If the taxpayer is a person reporting an a ﬁscal year basis or e corporatlon repnrtlng en either a calendar year or ﬁscal year basis and the
amount of the tax exceeds ﬁfty dollars ($50.00!, payment may be made in
two equal installments: one»half on the date the raturn is ﬁled, and one
half on or before the ﬁfteenth day cf the sixth month following the month
in which the return was originally due m he ﬁled, with interest on the
deferred payment at the rate of funl- per cent (4%) per annum frum the
date the return was originally due to he ﬁled. If the taxpayer is a pemn
reporting on a ﬁscal year basis or e col'poxation reporting on Either e eel.
cndzlr year or ﬁscal year basis and the amount of the tax exceeds four
hundred dollars ($400.00), payment may be made in four equal installments: onerfourth at the time of ﬁling the return, one-faurth on or befoxe
the ﬁfteenth day of the third month follnwing the month in which the return Was originally due to be ﬁled, onerfoui-th an or before the ﬁfteenth

10

"
9,sessionlawsresol1955nort_0057.jpg,258,9,96.51,"['distrim', 'ratiﬁed', 'amaunts', 'amt', 'secﬁon', 'hnth', 'b', 'conﬂict', 'ratiﬁcation']","SESSION LAWS

OF THE

STATE OF NORTH CAROLINA

SESSION 1955

S. B. 4 CHAPTER 1

AN ACT T0 AUTHORIZE THE BOARD OF TRUSTEES OF THE
SOUTHERN PINES SCHOOL DISTRICT T0 TRANSFER CERTAIN
FUNDS FROM ITS DEBT SERVICE ACCOUNT TO ITS CAPITAL
OUTLAY OR CURRENT EXPENSE ACCOUNTS, OR TO BOTH
SUCH ACCOUNTS.

The General Assembly 0/ Alarm Carolina do amt:

Secﬁon 1. The Board of Trustees of the Southern Pines School Distrim, is hereby authorized and empowered to transfer all surplus funds held
by it in its debt service account on the date at the ratiﬁcation of this Act
or on July 1, 1955, to its capital outlay account or current expense account,
or to hnth such accounts, and to use said funds for capital outlay or current
expense purposes, m- bath, including the construction of school buildings,

See. 2. A11 laws and clauses ni laws in conﬂict with this Act are hereby
repealed.

Sec. 3‘ This Act shah become effective on and after its ratiﬁcation.

In the General Assembly read three times and ratiﬁed, this the 14th
day of January, 1955.

H. B. 13 CHAPTER 2

AN ACT TO PERMIT THE BOARD OF COMMISSIONERS OF
CATAWBA COUNTY TO MAKE APPROPRIATIONS FOR BUILDING
WATER LINES, SEWER LINES OR EITHER OF THEM, FROM THE
CORPORATE LIMITS OF MUNICIPALITIES TO COMMUNITIES IN
THE COUNTY.

The General Assembly a/ North Carolina do enact:

Section 1. The Board of County Commissioners of Catawba County is
hereby authorized and empowered in its discretion to expend out of non»
fax funds available to said board such amount or amaunts as it may deem
Wise, not exceeding in the aggregate the sum of one hundred and twenty
1

"
